accession_number,filename,file_date,file_type,cik,display_name
000159653224000173,anet-20240331.htm,2024-05-08,10-Q,0001596532,"Arista Networks, Inc.  (ANET)  (CIK 0001596532)"
000121390024113555,ea022610402-6k_xtlbio.htm,2024-12-30,6-K,0001023549,XTL BIOPHARMACEUTICALS LTD  (XTLB)  (CIK 0001023549)
000119312524233891,d869370dex991.htm,2024-10-07,EX-99.1,0001768267,Cerence Inc.  (CRNC)  (CIK 0001768267)
000159653224000171,ex991q124-earningsrelease.htm,2024-05-07,EX-99.1,0001596532,"Arista Networks, Inc.  (ANET)  (CIK 0001596532)"
000119312524174406,d860175dex991.htm,2024-07-02,EX-99.1,0001768267,Cerence Inc.  (CRNC)  (CIK 0001768267)
000159653224000041,ex991q423-earningsrelease.htm,2024-02-12,EX-99.1,0001596532,"Arista Networks, Inc.  (ANET)  (CIK 0001596532)"
000121390024042015,ea0205870-6k_xtlbiophar.htm,2024-05-13,6-K,0001023549,XTL BIOPHARMACEUTICALS LTD  (XTLB)  (CIK 0001023549)
000148393424000039,q12024earnings-exhibit991.htm,2024-05-09,EX-99.1,0001483934,"Scorpio Tankers Inc.  (SBBA, STNG)  (CIK 0001483934)"
000117891324003823,exhibit_2.htm,2024-11-25,EX-99,0001498403,BioLineRx Ltd.  (BLRX)  (CIK 0001498403)
000119312524018111,d890653dex991.htm,2024-01-29,EX-99.1,0000017843,CARPENTER TECHNOLOGY CORP  (CRS)  (CIK 0000017843)
000121390024113540,ea022610401-6k_xtlbio.htm,2024-12-30,6-K,0001023549,XTL BIOPHARMACEUTICALS LTD  (XTLB)  (CIK 0001023549)
000119312524246616,d901819dex991.htm,2024-10-29,EX-99.1,0000017843,CARPENTER TECHNOLOGY CORP  (CRS)  (CIK 0000017843)
000095015724000422,form6-k.htm,2024-03-15,6-K,0001386716,Star Bulk Carriers Corp.  (SBLK)  (CIK 0001386716)
000119312524018118,d917906dex991.htm,2024-01-29,EX-99.1,0000017843,CARPENTER TECHNOLOGY CORP  (CRS)  (CIK 0000017843)
000119312524130676,d825973dex991.htm,2024-05-03,EX-99.1,0000017843,CARPENTER TECHNOLOGY CORP  (CRS)  (CIK 0000017843)
000159653224000279,anet-20240630.htm,2024-07-31,10-Q,0001596532,"Arista Networks, Inc.  (ANET)  (CIK 0001596532)"
000117891324002990,exhibit_99-2.htm,2024-09-06,EX-99.2,0001915403,"SatixFy Communications Ltd.  (SATX, STXYF)  (CIK 0001915403)"
000117891324001623,exhibit_99-1.htm,2024-05-08,EX-99.1,0001504379,Caesarstone Ltd.  (CSTE)  (CIK 0001504379)
000091957424001843,d10992818_6k.htm,2024-03-01,6-K,0000913290,Frontline plc  (FRO)  (CIK 0000913290)
000117891324001842,exhibit_3.htm,2024-05-28,EX-99.3,0001498403,BioLineRx Ltd.  (BLRX)  (CIK 0001498403)
000091957424001853,d10993883_6k.htm,2024-03-01,6-K,0001000177,NORDIC AMERICAN TANKERS Ltd  (NAT)  (CIK 0001000177)
000155837024007375,gnk-20240331x10q.htm,2024-05-08,10-Q,0001326200,GENCO SHIPPING & TRADING LTD  (GNK)  (CIK 0001326200)
000119312524127552,d827133dposam.htm,2024-05-01,POS AM,0001951067,C3is Inc.  (CISS)  (CIK 0001951067)
000149315224035476,form424b3.htm,2024-09-09,424B3,0001595353,Galmed Pharmaceuticals Ltd.  (GLMD)  (CIK 0001595353)
000155837024014664,gnk-20240930x10q.htm,2024-11-06,10-Q,0001326200,GENCO SHIPPING & TRADING LTD  (GNK)  (CIK 0001326200)
000159653224000277,ex991q224-earningsrelease.htm,2024-07-30,EX-99.1,0001596532,"Arista Networks, Inc.  (ANET)  (CIK 0001596532)"
000119312524187545,d873646dex991.htm,2024-07-29,EX-99.1,0000017843,CARPENTER TECHNOLOGY CORP  (CRS)  (CIK 0000017843)
000148393424000056,q22024earnings-exhibit991.htm,2024-07-30,EX-99.1,0001483934,"Scorpio Tankers Inc.  (SBBA, STNG)  (CIK 0001483934)"
000149315224024030,form424b3.htm,2024-06-17,424B3,0001211805,"My Size, Inc.  (MYSZ)  (CIK 0001211805)"
000159653224000043,anet-20231231.htm,2024-02-13,10-K,0001596532,"Arista Networks, Inc.  (ANET)  (CIK 0001596532)"
000165589124000015,trmd07-2024annualreport2.htm,2024-03-07,EX-99.1,0001655891,TORM plc  (TRMD)  (CIK 0001655891)
000119312524274346,d913472dposam.htm,2024-12-10,POS AM,0001951067,C3is Inc.  (CISS)  (CIK 0001951067)
000117891324002453,exhibit_99-1.htm,2024-08-07,EX-99.1,0001504379,Caesarstone Ltd.  (CSTE)  (CIK 0001504379)
000117891324002633,exhibit_3.htm,2024-08-15,EX-3,0001498403,BioLineRx Ltd.  (BLRX)  (CIK 0001498403)
000119312524127544,d820048dposam.htm,2024-05-01,POS AM,0001951067,C3is Inc.  (CISS)  (CIK 0001951067)
000149315224044578,form10-q.htm,2024-11-12,10-Q,0001433607,"InspireMD, Inc.  (NSPR)  (CIK 0001433607)"
000121390024097877,ea0220562-10q_actelis.htm,2024-11-14,10-Q,0001141284,ACTELIS NETWORKS INC  (ASNS)  (CIK 0001141284)
000119312524127549,d818858dposam.htm,2024-05-01,POS AM,0001951067,C3is Inc.  (CISS)  (CIK 0001951067)
000155837024011391,gnk-20240630x10q.htm,2024-08-07,10-Q,0001326200,GENCO SHIPPING & TRADING LTD  (GNK)  (CIK 0001326200)
000119312524274342,d852047dposam.htm,2024-12-10,POS AM,0001951067,C3is Inc.  (CISS)  (CIK 0001951067)
000117891324003637,exhibit_99-1.htm,2024-11-13,EX-99.1,0001504379,Caesarstone Ltd.  (CSTE)  (CIK 0001504379)
000119312524246614,d899707dex991.htm,2024-10-29,EX-99.1,0000017843,CARPENTER TECHNOLOGY CORP  (CRS)  (CIK 0000017843)
000121390024095441,ea022023401ex99-1_valens.htm,2024-11-07,EX-99.1,0001863006,"Valens Semiconductor Ltd.  (VLN, VLN-WT)  (CIK 0001863006)"
000119312524274349,d831445dposam.htm,2024-12-10,POS AM,0001951067,C3is Inc.  (CISS)  (CIK 0001951067)
000119312524135028,d819939dex993.htm,2024-05-09,EX-99.3,0001768267,Cerence Inc.  (CRNC)  (CIK 0001768267)
000121390024083459,ea021461801ex99-2_jeffs.htm,2024-09-30,EX-99.2,0001885408,"Jeffs' Brands Ltd  (JFBR, JFBRW)  (CIK 0001885408)"
000117891324003823,exhibit_3.htm,2024-11-25,EX-99,0001498403,BioLineRx Ltd.  (BLRX)  (CIK 0001498403)
000121390024042456,ea0205654-10q_charging.htm,2024-05-14,10-Q,0001459188,Charging Robotics Inc.  (CHEV)  (CIK 0001459188)
000119312524130672,d631283dex991.htm,2024-05-03,EX-99.1,0000017843,CARPENTER TECHNOLOGY CORP  (CRS)  (CIK 0000017843)
000192844624000021,grnt-20240509xexx991.htm,2024-05-09,EX-99.1,0001928446,"Granite Ridge Resources, Inc.  (GRNT)  (CIK 0001928446)"
000149315224034598,formf-1.htm,2024-08-30,F-1,0001595353,Galmed Pharmaceuticals Ltd.  (GLMD)  (CIK 0001595353)
000117891324002990,exhibit_99-3.htm,2024-09-06,EX-99.3,0001915403,"SatixFy Communications Ltd.  (SATX, STXYF)  (CIK 0001915403)"
000117891324003980,zk2432458.htm,2024-12-12,424B3,0001801834,PAINREFORM LTD.  (PRFX)  (CIK 0001801834)
000121390024068236,ea0209953-10q_charging.htm,2024-08-13,10-Q,0001459188,Charging Robotics Inc.  (CHEV)  (CIK 0001459188)
000095017024056266,crnc-ex99_1.htm,2024-05-09,EX-99.1,0001768267,Cerence Inc.  (CRNC)  (CIK 0001768267)
000119312524187540,d817637dex991.htm,2024-07-29,EX-99.1,0000017843,CARPENTER TECHNOLOGY CORP  (CRS)  (CIK 0000017843)
000095017024093306,crnc-ex99_1.htm,2024-08-08,EX-99.1,0001768267,Cerence Inc.  (CRNC)  (CIK 0001768267)
000095017024011536,crnc-ex99_1.htm,2024-02-06,EX-99.1,0001768267,Cerence Inc.  (CRNC)  (CIK 0001768267)
000148393424000009,q42023earnings-exhibit991.htm,2024-02-14,EX-99.1,0001483934,"Scorpio Tankers Inc.  (SBBA, STNG)  (CIK 0001483934)"
000110465924116850,tm2427937d1_ex99-1.htm,2024-11-12,EX-99.1,0001369241,Danaos Corp  (DAC)  (CIK 0001369241)
000110465924110444,tm2426285d1_6k.htm,2024-10-22,6-K,0000352960,SWEDISH EXPORT CREDIT CORP /SWED/  (CIK 0000352960)
000131786124000025,f52124edry6k.htm,2024-05-21,6-K,0001731388,EuroDry Ltd.  (EDRY)  (CIK 0001731388)
000192844624000035,grnt-20240808xexx991.htm,2024-08-08,EX-99.1,0001928446,"Granite Ridge Resources, Inc.  (GRNT)  (CIK 0001928446)"
000192844624000044,grnt-20241107xexx991.htm,2024-11-07,EX-99.1,0001928446,"Granite Ridge Resources, Inc.  (GRNT)  (CIK 0001928446)"
000141057824001734,mbly-20240928x10q.htm,2024-10-31,10-Q,0001910139,Mobileye Global Inc.  (MBLY)  (CIK 0001910139)
000104360424000009,jnpr-20231231ex991.htm,2024-01-30,EX-99.1,0001043604,JUNIPER NETWORKS INC  (JNPR)  (CIK 0001043604)
000121390024084684,ea021604001ex99-1_silynx.htm,2024-10-02,EX-99.1,0001976443,Silynxcom Ltd.  (SYNX)  (CIK 0001976443)
000149315224022548,forms-3.htm,2024-06-04,S-3,0001211805,"My Size, Inc.  (MYSZ)  (CIK 0001211805)"
000110465924065636,tm2415359d2_ex99-1.htm,2024-05-28,EX-99.1,0001369241,Danaos Corp  (DAC)  (CIK 0001369241)
000082148324000010,a20240331991earningsreleas.htm,2024-05-07,EX-99.1,0000821483,"PAR PACIFIC HOLDINGS, INC.  (PARR)  (CIK 0000821483)"
000110465924005830,tm243499d1_6k.htm,2024-01-23,6-K,0000352960,SWEDISH EXPORT CREDIT CORP /SWED/  (CIK 0000352960)
000165589124000031,trmd-20240630_d2.htm,2024-08-15,EX-99.1,0001655891,TORM plc  (TRMD)  (CIK 0001655891)
000095015724001066,exhibit992.htm,2024-08-08,EX-99.2,0001386716,Star Bulk Carriers Corp.  (SBLK)  (CIK 0001386716)
000091957424002806,d11047344_ex99-1.htm,2024-05-09,EX-99.1,0001655891,TORM plc  (TRMD)  (CIK 0001655891)
000117891324003929,zk2432407.htm,2024-12-06,F-3,0001801834,PAINREFORM LTD.  (PRFX)  (CIK 0001801834)
000155837024001857,gnk-20231231x10k.htm,2024-02-27,10-K,0001326200,GENCO SHIPPING & TRADING LTD  (GNK)  (CIK 0001326200)
000082148324000018,a20240630991earningsreleas.htm,2024-08-06,EX-99.1,0000821483,"PAR PACIFIC HOLDINGS, INC.  (PARR)  (CIK 0000821483)"
000192844624000003,grnt-20231231xexx991.htm,2024-03-07,EX-99.1,0001928446,"Granite Ridge Resources, Inc.  (GRNT)  (CIK 0001928446)"
000110465924086302,dac-20240630xex99d1.htm,2024-08-06,EX-99.1,0001369241,Danaos Corp  (DAC)  (CIK 0001369241)
000114036124021754,ef20027555_defa14a.htm,2024-04-24,DEFA14A,0001326200,GENCO SHIPPING & TRADING LTD  (GNK)  (CIK 0001326200)
000139834424011379,fp0088054-1_ncsr.htm,2024-06-07,N-CSR,0001888997,SEI Exchange Traded Funds  (CIK 0001888997)
000121390024022842,ea0201842-f3_railvision.htm,2024-03-15,F-3,0001743905,"Rail Vision Ltd.  (RVSN, RVSNW)  (CIK 0001743905)"
000149315224029747,forms-1.htm,2024-07-31,S-1,0000797542,Viewbix Inc.  (VBIX)  (CIK 0000797542)
000095015724000796,ex99-2.htm,2024-05-23,EX-99.2,0001386716,Star Bulk Carriers Corp.  (SBLK)  (CIK 0001386716)
000091957424003387,d11063253_6k.htm,2024-05-31,6-K,0000913290,Frontline plc  (FRO)  (CIK 0000913290)
000121390024061113,ea0208943-f1_silynxcom.htm,2024-07-15,F-1,0001976443,Silynxcom Ltd.  (SYNX)  (CIK 0001976443)
000082148324000025,a20240930991earningsreleas.htm,2024-11-05,EX-99.1,0000821483,"PAR PACIFIC HOLDINGS, INC.  (PARR)  (CIK 0000821483)"
000121390024043030,ea0205455-10q_actelisnet.htm,2024-05-14,10-Q,0001141284,ACTELIS NETWORKS INC  (ASNS)  (CIK 0001141284)
000155837024014528,asc-20241130xex99d1.htm,2024-11-06,EX-99.1,0001577437,Ardmore Shipping Corp  (ASC)  (CIK 0001577437)
000131786124000040,f80624esea6k.htm,2024-08-06,6-K,0001341170,EUROSEAS LTD.  (ESEA)  (CIK 0001341170)
000082148324000003,a20231231991earningsreleas.htm,2024-02-28,EX-99.1,0000821483,"PAR PACIFIC HOLDINGS, INC.  (PARR)  (CIK 0000821483)"
000121390024055260,filename1.htm,2024-06-24,DRS,0001976443,Silynxcom Ltd.  (SYNX)  (CIK 0001976443)
000198773124000008,wti-20240331.htm,2024-05-13,10-Q,0001987731,"WTI Fund XI, Inc.  (CIK 0001987731)"
000119312524110086,d647646dars.pdf,2024-04-24,ARS,0001596532,"Arista Networks, Inc.  (ANET)  (CIK 0001596532)"
000114036124036408,ef20030922_ex99-2.htm,2024-08-08,EX-99.2,0001912847,United Maritime Corp  (USEA)  (CIK 0001912847)
000095015724001551,ex99-2.htm,2024-11-20,EX-99.2,0001386716,Star Bulk Carriers Corp.  (SBLK)  (CIK 0001386716)
000155837024007202,asc-20240508xex99d1.htm,2024-05-08,EX-99.1,0001577437,Ardmore Shipping Corp  (ASC)  (CIK 0001577437)
000110465924039663,tm244477d2_ars.pdf,2024-03-27,ARS,0001693256,"Select Water Solutions, Inc.  (WTTR)  (CIK 0001693256)"
000121390024109395,ea0224744-f3_jeffsbrands.htm,2024-12-16,F-3,0001885408,"Jeffs' Brands Ltd  (JFBR, JFBRW)  (CIK 0001885408)"
000121390024021051,ea0201216-f3_beamrimag.htm,2024-03-08,F-3,0001899005,Beamr Imaging Ltd.  (BMR)  (CIK 0001899005)
000121390024045958,ea0206692-424b3_neurosense.htm,2024-05-22,424B3,0001875091,"NeuroSense Therapeutics Ltd.  (NRSN, NRSNW)  (CIK 0001875091)"
000121390024110177,ea0225195-f3_jeffsbrands.htm,2024-12-18,F-3,0001885408,"Jeffs' Brands Ltd  (JFBR, JFBRW)  (CIK 0001885408)"
000095015724000171,ex99-1.htm,2024-02-13,EX-99.1,0001386716,Star Bulk Carriers Corp.  (SBLK)  (CIK 0001386716)
000117891324003893,zk2432420.htm,2024-12-02,POS AM,0001534248,Chemomab Therapeutics Ltd.  (CMMB)  (CIK 0001534248)
000155837024001437,wttr-20231231x10k.htm,2024-02-21,10-K,0001693256,"Select Water Solutions, Inc.  (WTTR)  (CIK 0001693256)"
000121390024015342,ea0200175-f3_jeffsbrands.htm,2024-02-20,F-3,0001885408,"Jeffs' Brands Ltd  (JFBR, JFBRW)  (CIK 0001885408)"
000117891324000782,zk2431068.htm,2024-03-01,F-3,0001574565,Evogene Ltd.  (EVGN)  (CIK 0001574565)
000155837024014644,pahc-20240930x10q.htm,2024-11-06,10-Q,0001069899,PHIBRO ANIMAL HEALTH CORP  (PAHC)  (CIK 0001069899)
000155837024001198,asc-20240215xex99d1.htm,2024-02-15,EX-99.1,0001577437,Ardmore Shipping Corp  (ASC)  (CIK 0001577437)
000155837024010426,asc-20240731xex99d1.htm,2024-07-31,EX-99.1,0001577437,Ardmore Shipping Corp  (ASC)  (CIK 0001577437)
000110465924061971,tm2413073d3_424b7.htm,2024-05-15,424B7,0001679049,"International Seaways, Inc.  (INSW)  (CIK 0001679049)"
000145493824000074,outbrain-20240331.htm,2024-05-09,10-Q,0001454938,Outbrain Inc.  (OB)  (CIK 0001454938)
000121390024076706,ea0213161-posam_mobilicom.htm,2024-09-09,POS AM,0001898643,"Mobilicom Ltd  (MOB, MOBBW)  (CIK 0001898643)"
000110465924066663,tm2413073d4_424b7.htm,2024-05-30,424B7,0001679049,"International Seaways, Inc.  (INSW)  (CIK 0001679049)"
